Type,Rating
Free,4.1
Free,3.9
Free,4.7
Free,4.5
Free,4.3
Free,4.4
Free,3.8
Free,4.1
Free,4.4
Free,4.7
Free,4.4
Free,4.4
Free,4.2
Free,4.6
Free,4.4
Free,3.2
Free,4.7
Free,4.5
Free,4.3
Free,4.6
Free,4
Free,4.1
Free,4.7
Free,NaN
Free,4.7
Free,4.8
Free,4.7
Free,4.1
Free,3.9
Free,4.1
Free,4.2
Free,4.1
Free,4.5
Free,4.2
Free,4.7
Free,3.8
Free,4.7
Free,4.1
Free,4.7
Free,4
Free,4.2
Free,4.5
Free,4.4
Free,3.8
Free,4.2
Free,4.7
Free,4.6
Free,4.2
Free,4.3
Free,4.2
Free,4
Free,3.8
Free,4.6
Free,3.9
Free,4.3
Free,4.9
Free,4.4
Free,4.2
Free,4
Free,3.9
Free,4.6
Free,4.9
Free,4.3
Free,4.6
Free,4.9
Free,3.9
Free,4
Free,4.3
Free,3.9
Free,4.2
Free,4.8
Free,3.6
Free,4.2
Free,4.8
Free,4.8
Free,4.6
Free,4.5
Free,4.3
Free,4.5
Free,4.9
Free,3.9
Free,4.4
Free,4
Free,4.3
Free,3.7
Free,4.4
Free,4.3
Free,3.2
Free,4.6
Free,4.6
Free,4.5
Free,3.7
Free,4.6
Free,4.6
Free,4.6
Free,4
Free,4.4
Free,4
Free,4.7
Free,4.9
Free,4.7
Free,3.9
Free,3.9
Free,4.2
Free,4.6
Free,4.3
Free,4.7
Free,4.7
Free,4.8
Free,4.2
Free,4.3
Free,4.5
Free,4.1
Free,NaN
Free,4.2
Free,4.5
Free,4.4
Free,4
Free,4.1
Free,4.1
Free,4.4
Free,4.6
Free,4.5
Free,NaN
Free,3.9
Free,4.4
Free,NaN
Free,4.6
Free,3.8
Free,NaN
Free,NaN
Free,4
Free,4.3
Free,4.5
Free,NaN
Free,4.1
Free,3.7
Free,4.7
Free,4.2
Free,4.6
Free,4.5
Free,4.6
Free,4.4
Free,4.2
Free,4.5
Free,4.5
Free,4.5
Free,4.5
Free,4.4
Free,4.5
Free,4.6
Free,4.8
Free,3.9
Free,4.6
Free,4.2
Free,4.1
Free,4.7
Free,4.2
Free,4.3
Free,3.3
Free,4.6
Free,4.8
Free,4.7
Free,NaN
Free,4.1
Free,4.6
Free,4.1
Free,4.6
Free,4.7
Free,4.5
Free,3.9
Free,4.4
Free,4.3
Free,4.2
Free,4.5
Free,4.4
Free,3.4
Free,4.9
Free,4.6
Free,4.4
Free,NaN
Free,4.4
Free,4.4
Free,4.4
Free,3.5
Free,NaN
Free,4.4
Free,4.1
Free,4.3
Free,4.4
Free,4.3
Free,4.3
Free,4.1
Free,4.4
Free,4.3
Free,3.9
Free,4.8
Free,4.5
Free,4.4
Free,4
Free,4.3
Free,4
Free,4.2
Free,4.5
Free,4.2
Free,4.2
Free,4.6
Free,4.1
Free,4.6
Free,3.1
Free,3.9
Free,4.3
Free,4.1
Free,4.4
Free,4.1
Free,4.1
Free,4.5
Free,4.4
Free,4.4
Free,4.3
Free,4.4
Free,4.6
Free,4.2
Free,4.4
Free,4.7
Free,3.8
Free,3.9
Free,NaN
Free,4.3
Free,4.2
Free,4.4
Free,4.7
Free,4.5
Free,4.2
Free,4.2
Free,4.2
Free,4.3
Free,4.4
Free,4.4
Free,4.1
Free,3.8
Free,4.3
Free,3.8
Free,3.5
Free,4.1
Free,4.6
Free,4.3
Free,4.5
Free,4.1
Free,4.5
Free,4.6
Free,4
Free,4.2
Free,4.4
Free,4.4
Free,4
Free,4.2
Free,4.2
